Time,Temperature°C,Humidity%
2021-06-21 00:07:53,32.9,26.0
2021-06-21 00:17:53,32.9,26.0
2021-06-21 00:27:53,32.9,26.0
2021-06-21 00:37:53,32.8,26.0
2021-06-21 00:47:53,32.8,26.0
2021-06-21 00:57:53,32.8,26.0
Average Hour 0,32.85,26.0
2021-06-21 01:07:53,32.7,26.6
2021-06-21 01:17:53,32.7,26.6
2021-06-21 01:27:53,32.7,26.6
2021-06-21 01:37:53,32.6,27.1
2021-06-21 01:47:53,32.6,27.1
2021-06-21 01:57:53,32.5,27.1
Average Hour 1,32.63333333333333,26.849999999999998
2021-06-21 02:07:53,32.5,27.1
2021-06-21 02:17:53,32.4,27.1
2021-06-21 02:27:53,32.4,27.1
2021-06-21 02:37:53,32.3,27.1
2021-06-21 02:47:53,32.3,27.1
2021-06-21 02:57:53,32.3,27.1
Average Hour 2,32.366666666666674,27.099999999999998
2021-06-21 03:07:53,32.2,27.1
2021-06-21 03:17:53,32.2,27.1
2021-06-21 03:27:53,32.2,27.1
2021-06-21 03:37:53,32.1,27.1
2021-06-21 03:47:53,32.1,27.1
2021-06-21 03:57:53,32.0,27.1
Average Hour 3,32.13333333333333,27.099999999999998
2021-06-21 04:07:53,32.0,27.1
2021-06-21 04:17:53,32.0,27.1
2021-06-21 04:27:53,31.9,27.1
2021-06-21 04:37:53,31.9,27.1
2021-06-21 04:47:53,31.9,27.1
2021-06-21 04:57:53,31.8,27.1
Average Hour 4,31.91666666666667,27.099999999999998
2021-06-21 05:07:53,31.8,27.1
2021-06-21 05:17:53,31.7,27.1
2021-06-21 05:27:53,31.8,27.7
2021-06-21 05:37:53,31.7,27.6
2021-06-21 05:47:53,31.7,27.7
2021-06-21 05:57:53,31.7,27.6
Average Hour 5,31.73333333333333,27.466666666666665
2021-06-21 06:07:53,31.7,27.6
2021-06-21 06:17:53,31.7,27.7
2021-06-21 06:27:53,31.8,27.7
2021-06-21 06:37:53,32.1,27.1
2021-06-21 06:47:53,32.4,27.1
2021-06-21 06:57:53,32.7,27.1
Average Hour 6,32.06666666666667,27.38333333333333
2021-06-21 07:07:53,32.7,27.1
2021-06-21 07:17:53,33.2,26.6
2021-06-21 07:27:53,33.5,26.0
2021-06-21 07:37:53,33.7,26.0
2021-06-21 07:47:53,33.7,26.0
